weight|isCreditBad|pred1
2|0|0.06266753244754811
4.01725|0|0.08308174060195689
3.53498|0|0.036303491977894425
3.53498|0|0.07595590955930791
3.53498|0|0.23935317609262893
3.53498|0|0.1655259586923004
2|0|0.08258843177335198
3.53498|0|0.07486300313131947
3.53498|0|0.08255962019954097
3.53498|0|0.12642364824009514
3.53498|0|0.14331831325062738
3.53498|0|0.15108188541241496
4.01725|0|0.08621719544415826
3.53498|0|0.06957400291297695
2|0|0.09208113894693355
2|0|0.16481346209279943
2|0|0.26804144698084353
2|1|0.09907628892279667
9.64051|0|0.4774666303108432
9.64051|0|0.06338532934132891
9.64051|0|0.14314092005203213
9.64051|0|0.12827496365903307
9.64051|0|0.11153199806752041
9.64051|0|0.1435196441088211
9.64051|0|0.11998162419655176
2|1|0.3293291195292012
2|1|0.11772818774208753
9.64051|0|0.05702736429765108
9.64051|0|0.1263601092330904
2|1|0.1578798424007584
9.64051|0|0.08309960714594276
2|1|0.10583506052536355
2|1|0.1841708489112845
1|0|0.1826855025183196
2|1|0.17396802540311374
9.64051|0|0.10960165464165504
9.64051|0|0.1211539501115943
9.64051|0|0.2831537550299869
9.64051|0|0.2021108968155718
9.64051|0|0.33305884647811573
9.64051|0|0.18069300939649316
2|0|0.43662442223145004
3.53498|0|0.11681779793068711
4.01725|0|0.07195078128498282
3.53498|0|0.17084070548508604
2|1|0.22690510978259282
3.53498|0|0.19824126463703748
2|0|0.08042823364916163
3.53498|0|0.17182567869146506
3.53498|0|0.08276048275148243
4.01725|0|0.16856232318333103
3.53498|0|0.22296879799266908
2|0|0.09271697449288152
3.53498|0|0.24461371274220042
4.01725|0|0.050087087720508607
3.53498|0|0.07758785638371145
2|0|0.09099009791131017
3.53498|0|0.1192506723889399
3.53498|0|0.1587668019549558
3.53498|0|0.0457198657410811
3.53498|0|0.2299018133224026
3.53498|0|0.09609752836139222
2|0|0.058835610954526676
4.01725|0|0.16106584840537125
2|0|0.10843189214753497
3.53498|0|0.103334666442787
3.53498|0|0.16039194308334867
2|0|0.14599576551000717
3.53498|0|0.13517944529115508
3.53498|0|0.07495876607618293
2|0|0.1124044952041957
2|0|0.19079971108745525
4.01725|0|0.09643886635500686
2|0|0.18416201549582584
2|0|0.1447290890985847
2|1|0.37233236288810106
3.53498|0|0.2759996162546656
3.53498|0|0.10622621852377202
3.53498|0|0.24367608327802126
3.53498|0|0.17397482981612566
